estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
PR,TeeJet;,TESTE,ST-D,29.51,MAGNOJET,4,2022,Sul
PR,TeeJet;,TESTE,MUG,55,MAGNOJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TXA,18.01,TEEJET,1,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,XR-VK,20.01,TEEJET,2,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TT-VP,22.01,TEEJET,3,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TTJ60,25.01,TEEJET,4,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,AIXR-VK,40,TEEJET,5,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,TTI,49.5,TEEJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,BD,15,MAGNOJET,2,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,MAG,10.5,MAGNOJET,1,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,MGA,24.01,MAGNOJET,1,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,ST,35.5,MAGNOJET,3,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,ST-D,35.5,MAGNOJET,4,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,MUG,65,MAGNOJET,6,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,AXI,21.01,JACTO,2,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,JA,19.01,JACTO,1,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,ATR,22.01,JACTO,1,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,J3D,57.5,JACTO,3,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,JTT,18.01,JACTO,3,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,AVI,67.5,JACTO,5,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,CVI,70,JACTO,5,2022,Sul
PR,TeeJet;Jacto;,MACCAMPO,JMD,55,JACTO,6,2022,Sul
MG,TeeJet;,DUSIQUEIRA,TXA,23,TEEJET,1,2022,Sudeste
MG,TeeJet;,DUSIQUEIRA,XR-VK,23,TEEJET,2,2022,Sudeste
MG,TeeJet;,DUSIQUEIRA,TT-VP,23,TEEJET,3,2022,Sudeste
MG,TeeJet;,DUSIQUEIRA,TTJ60,25,TEEJET,4,2022,Sudeste
MG,TeeJet;,DUSIQUEIRA,AIXR-VK,38,TEEJET,5,2022,Sudeste
MG,TeeJet;,DUSIQUEIRA,TTI,46.5,TEEJET,6,2022,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,TXA,23,TEEJET,1,2022,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,TT-VP,20.01,TEEJET,3,2022,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,TTJ60,24.01,TEEJET,4,2022,Sudeste
MG,TeeJet;,AUTO PEÇAS SILVA,AIXR-VK,40,TEEJET,5,2022,Sudeste
GO,TeeJet;,CASA DO PICA PAU,TXA,20.01,TEEJET,1,2022,Centro-Oeste
GO,TeeJet;,CASA DO PICA PAU,XR-VK,20.01,TEEJET,2,2022,Centro-Oeste
GO,TeeJet;,CASA DO PICA PAU,TT-VP,18.01,TEEJET,3,2022,Centro-Oeste
GO,TeeJet;,CASA DO PICA PAU,TTJ60,22.01,TEEJET,4,2022,Centro-Oeste
